date,year,month,week_start_date,week_number,week_number_year,trailing_7d,attribution_type,channel_type,strategy,platform,channel,market,investment,agency_fees,violet_fee,sessions,phone_calls,form_submissions,leads,first_appointments_completed,second_appointments_completed,repeat_appointments_completed,first_revenue,repeat_revenue,twenty_one_days_revenue,twenty_eight_days_revenue,ninety_days_revenue,one_hundred_eighty_days_revenue,contribution_margin
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Unattributed,Unattributed,Texas,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Unattributed,Unattributed,DMV,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Unattributed,Unattributed,New York,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Unattributed,Unattributed,Colorado,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,161.0,0.0,0.0,0.0,0.0,57.6
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Self Reported,Self Reported,DMV,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Self Reported,Self Reported,New York,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0,139.1
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Self Reported,Self Reported,Texas,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Self Reported,Self Reported,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,161.0,0.0,0.0,0.0,0.0,57.6
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Offline Referral,Offline,Word of Mouth,Word of Mouth,Colorado,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,11.0,0.0,1821.0,0.0,0.0,0.0,0.0,674.2
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Offline Referral,Offline,Word of Mouth,Word of Mouth,New York,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,12.0,188.0,1901.0,0.0,0.0,0.0,0.0,764.9
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Offline Referral,Offline,Word of Mouth,Word of Mouth,Texas,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Offline Referral,Offline,Word of Mouth,Word of Mouth,DMV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,174.0,0.0,0.0,0.0,0.0,57.4
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Paid-Digital,Acquisition,Basis Platform,Programmatic,New York,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Online Referral,Acquisition,Psychology Today,Psychology Today,Texas,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Online Referral,Acquisition,Psychology Today,Psychology Today,New York,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,7.0,0.0,1235.0,0.0,0.0,0.0,0.0,429.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Online Referral,Acquisition,Psychology Today,Psychology Today,Colorado,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,190.0,644.0,0.0,0.0,0.0,0.0,298.6
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Online Referral,Acquisition,Psychology Today,Psychology Today,DMV,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Unattributed Phone,Unattributed Phone,DMV,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Unattributed Phone,Unattributed Phone,Colorado,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Online Referral,Acquisition,Other Online Referral,Other Online Referral,New York,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1273.0,0.0,0.0,0.0,0.0,463.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Online Referral,Acquisition,Other Online Referral,Other Online Referral,DMV,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Online Referral,Acquisition,Other Online Referral,Other Online Referral,Colorado,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,830.0,0.0,0.0,0.0,0.0,308.3
